GPIO.050.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.0
GPIO.054.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.26
GPIO.054.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.27
GPIO.056.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.28
GPIO.056.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.29
GPIO.056.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.30
GPIO.056.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.31
GPIO.058.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.36
GPIO.058.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.37
GPIO.058.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.38
GPIO.058.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.39
GPIO.058.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.40
GPIO.058.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.41
GPIO.058.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.42
GPIO.058.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.43
GPIO.058.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.44
GPIO.058.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.45
GPIO.058.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.46
GPIO.058.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.47
GPIO.060.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.48
GPIO.060.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.49
GPIO.060.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.50
GPIO.060.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.51
GPIO.062.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.52
GPIO.062.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.53
GPIO.062.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.54
GPIO.062.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.55
GPIO.062.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.56
GPIO.062.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.57
GPIO.062.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.58
GPIO.062.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.59
GPIO.062.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.60
GPIO.062.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.61
GPIO.062.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.62
GPIO.062.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.63
GPIO.064.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.64
GPIO.064.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.65
GPIO.064.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.66
GPIO.064.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.67
GPIO.066.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.72
GPIO.066.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.73
GPIO.066.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.74
GPIO.066.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.75
GPIO.066.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.76
GPIO.066.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.77
GPIO.066.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.78
GPIO.066.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.79
GPIO.066.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.80
GPIO.066.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.81
GPIO.066.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.82
GPIO.066.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.83
GPIO.068.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.84
GPIO.068.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.85
GPIO.068.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.86
GPIO.068.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.87
GPIO.070.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.88
GPIO.070.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.89
GPIO.070.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.90
GPIO.070.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.91
GPIO.070.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.92
GPIO.070.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.93
GPIO.070.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.94
GPIO.070.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.95
GPIO.070.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.96
GPIO.070.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.97
GPIO.070.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.98
GPIO.070.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.99
GPIO.072.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.100
GPIO.072.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.101
GPIO.072.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.102
GPIO.072.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.103
GPIO.074.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.108
GPIO.074.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.109
GPIO.074.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.110
GPIO.074.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.111
GPIO.074.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.112
GPIO.074.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.113
GPIO.074.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.114
GPIO.074.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.115
GPIO.074.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.116
GPIO.074.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.117
GPIO.074.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.118
GPIO.074.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.119
GPIO.076.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.120
GPIO.076.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.121
GPIO.076.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.122
GPIO.076.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.123
GPIO.078.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.124
GPIO.078.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.125
GPIO.078.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.126
GPIO.078.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.127
GPIO.078.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.128
GPIO.078.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.129
GPIO.078.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.130
GPIO.078.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.131
GPIO.078.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.132
GPIO.078.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.133
GPIO.078.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.134
GPIO.078.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.135
GPIO.080.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.136
GPIO.080.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.137
GPIO.080.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.138
GPIO.080.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.139
GPIO.082.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.144
GPIO.082.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.145
GPIO.082.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.146
GPIO.082.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.147
GPIO.082.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.148
GPIO.082.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.149
GPIO.082.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.150
GPIO.082.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.151
GPIO.082.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.152
GPIO.082.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.153
GPIO.082.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.154
GPIO.082.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.155
GPIO.084.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.156
GPIO.084.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.157
GPIO.084.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.158
GPIO.084.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.159
GPIO.086.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.160
GPIO.086.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.161
GPIO.086.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.162
GPIO.086.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.163
GPIO.086.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.164
GPIO.086.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.165
GPIO.086.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.166
GPIO.086.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.167
GPIO.086.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.168
GPIO.086.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.169
GPIO.086.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.170
GPIO.086.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.171
GPIO.088.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.172
GPIO.088.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.173
GPIO.088.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.174
GPIO.088.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.175
HMC.025.000:PHYDDIOADDRACLR.0 GPIO.040.000.2:ACLR
HMC.025.000:PHYDDIOADDRACLR.1 GPIO.040.000.3:ACLR
HMC.025.000:PHYDDIOADDRACLR.2 GPIO.038.000.2:ACLR
HMC.025.000:PHYDDIOADDRACLR.3 GPIO.038.000.3:ACLR
HMC.025.000:PHYDDIOADDRACLR.4 GPIO.038.000.0:ACLR
HMC.025.000:PHYDDIOADDRACLR.5 GPIO.038.000.1:ACLR
HMC.025.000:PHYDDIOADDRACLR.6 GPIO.036.000.2:ACLR
HMC.025.000:PHYDDIOADDRACLR.7 GPIO.036.000.3:ACLR
HMC.025.000:PHYDDIOADDRACLR.8 GPIO.030.000.0:ACLR
HMC.025.000:PHYDDIOADDRACLR.9 GPIO.030.000.1:ACLR
HMC.025.000:PHYDDIOADDRACLR.10 GPIO.030.000.2:ACLR
HMC.025.000:PHYDDIOADDRACLR.11 GPIO.030.000.3:ACLR
HMC.025.000:PHYDDIOADDRACLR.12 GPIO.028.000.2:ACLR
HMC.025.000:PHYDDIOADDRACLR.13 GPIO.028.000.3:ACLR
HMC.025.000:PHYDDIOADDRACLR.14 GPIO.026.000.0:ACLR
HMC.025.000:PHYDDIOADDRACLR.15 GPIO.026.000.1:ACLR
HMC.025.000:PHYDDIOADDRDOUT.0 GPIO.040.000.2:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.1 GPIO.040.000.2:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.2 GPIO.040.000.2:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.3 GPIO.040.000.2:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.4 GPIO.040.000.3:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.5 GPIO.040.000.3:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.6 GPIO.040.000.3:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.7 GPIO.040.000.3:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.8 GPIO.038.000.2:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.9 GPIO.038.000.2:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.10 GPIO.038.000.2:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.11 GPIO.038.000.2:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.12 GPIO.038.000.3:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.13 GPIO.038.000.3:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.14 GPIO.038.000.3:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.15 GPIO.038.000.3:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.16 GPIO.038.000.0:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.17 GPIO.038.000.0:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.18 GPIO.038.000.0:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.19 GPIO.038.000.0:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.20 GPIO.038.000.1:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.21 GPIO.038.000.1:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.22 GPIO.038.000.1:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.23 GPIO.038.000.1:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.24 GPIO.036.000.2:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.25 GPIO.036.000.2:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.26 GPIO.036.000.2:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.27 GPIO.036.000.2:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.28 GPIO.036.000.3:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.29 GPIO.036.000.3:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.30 GPIO.036.000.3:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.31 GPIO.036.000.3:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.32 GPIO.030.000.0:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.33 GPIO.030.000.0:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.34 GPIO.030.000.0:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.35 GPIO.030.000.0:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.36 GPIO.030.000.1:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.37 GPIO.030.000.1:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.38 GPIO.030.000.1:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.39 GPIO.030.000.1:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.40 GPIO.030.000.2:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.41 GPIO.030.000.2:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.42 GPIO.030.000.2:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.43 GPIO.030.000.2:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.44 GPIO.030.000.3:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.45 GPIO.030.000.3:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.46 GPIO.030.000.3:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.47 GPIO.030.000.3:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.48 GPIO.028.000.2:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.49 GPIO.028.000.2:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.50 GPIO.028.000.2:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.51 GPIO.028.000.2:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.52 GPIO.028.000.3:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.53 GPIO.028.000.3:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.54 GPIO.028.000.3:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.55 GPIO.028.000.3:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.56 GPIO.026.000.0:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.57 GPIO.026.000.0:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.58 GPIO.026.000.0:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.59 GPIO.026.000.0:DATAIN.3
HMC.025.000:PHYDDIOADDRDOUT.60 GPIO.026.000.1:DATAIN.0
HMC.025.000:PHYDDIOADDRDOUT.61 GPIO.026.000.1:DATAIN.1
HMC.025.000:PHYDDIOADDRDOUT.62 GPIO.026.000.1:DATAIN.2
HMC.025.000:PHYDDIOADDRDOUT.63 GPIO.026.000.1:DATAIN.3
HMC.025.000:PHYDDIOBAACLR GPIO.034.000.1:ACLR
HMC.025.000:PHYDDIOBADOUT.0 GPIO.034.000.2:DATAIN.0
HMC.025.000:PHYDDIOBADOUT.1 GPIO.034.000.2:DATAIN.1
HMC.025.000:PHYDDIOBADOUT.2 GPIO.034.000.2:DATAIN.2
HMC.025.000:PHYDDIOBADOUT.3 GPIO.034.000.2:DATAIN.3
HMC.025.000:PHYDDIOBADOUT.4 GPIO.034.000.0:DATAIN.0
HMC.025.000:PHYDDIOBADOUT.5 GPIO.034.000.0:DATAIN.1
HMC.025.000:PHYDDIOBADOUT.6 GPIO.034.000.0:DATAIN.2
HMC.025.000:PHYDDIOBADOUT.7 GPIO.034.000.0:DATAIN.3
HMC.025.000:PHYDDIOBADOUT.8 GPIO.034.000.1:DATAIN.0
HMC.025.000:PHYDDIOBADOUT.9 GPIO.034.000.1:DATAIN.1
HMC.025.000:PHYDDIOBADOUT.10 GPIO.034.000.1:DATAIN.2
HMC.025.000:PHYDDIOBADOUT.11 GPIO.034.000.1:DATAIN.3
HMC.025.000:PHYDDIOCASNACLR GPIO.032.000.2:ACLR
HMC.025.000:PHYDDIOCASNDOUT.0 GPIO.032.000.2:DATAIN.0
HMC.025.000:PHYDDIOCASNDOUT.1 GPIO.032.000.2:DATAIN.1
HMC.025.000:PHYDDIOCASNDOUT.2 GPIO.032.000.2:DATAIN.2
HMC.025.000:PHYDDIOCASNDOUT.3 GPIO.032.000.2:DATAIN.3
HMC.025.000:PHYDDIOCKDOUT.0 GPIO.036.000.0:DATAIN.0
HMC.025.000:PHYDDIOCKDOUT.1 GPIO.036.000.0:DATAIN.1
HMC.025.000:PHYDDIOCKDOUT.2 GPIO.036.000.0:DATAIN.2
HMC.025.000:PHYDDIOCKDOUT.3 GPIO.036.000.0:DATAIN.3
HMC.025.000:PHYDDIOCKEACLR.0 GPIO.062.000.3:ACLR
HMC.025.000:PHYDDIOCKEACLR.1 GPIO.060.000.2:ACLR
HMC.025.000:PHYDDIOCKEDOUT.0 GPIO.062.000.3:DATAIN.0
HMC.025.000:PHYDDIOCKEDOUT.1 GPIO.062.000.3:DATAIN.1
HMC.025.000:PHYDDIOCKEDOUT.2 GPIO.062.000.3:DATAIN.2
HMC.025.000:PHYDDIOCKEDOUT.3 GPIO.062.000.3:DATAIN.3
HMC.025.000:PHYDDIOCKEDOUT.4 GPIO.060.000.2:DATAIN.0
HMC.025.000:PHYDDIOCKEDOUT.5 GPIO.060.000.2:DATAIN.1
HMC.025.000:PHYDDIOCKEDOUT.6 GPIO.060.000.2:DATAIN.2
HMC.025.000:PHYDDIOCKEDOUT.7 GPIO.060.000.2:DATAIN.3
HMC.025.000:PHYDDIOCKNDOUT.0 GPIO.036.000.1:DATAIN.0
HMC.025.000:PHYDDIOCKNDOUT.1 GPIO.036.000.1:DATAIN.1
HMC.025.000:PHYDDIOCKNDOUT.2 GPIO.036.000.1:DATAIN.2
HMC.025.000:PHYDDIOCKNDOUT.3 GPIO.036.000.1:DATAIN.3
HMC.025.000:PHYDDIOCSNACLR.0 GPIO.028.000.0:ACLR
HMC.025.000:PHYDDIOCSNACLR.1 GPIO.028.000.1:ACLR
HMC.025.000:PHYDDIOCSNDOUT.0 GPIO.028.000.0:DATAIN.0
HMC.025.000:PHYDDIOCSNDOUT.1 GPIO.028.000.0:DATAIN.1
HMC.025.000:PHYDDIOCSNDOUT.2 GPIO.028.000.0:DATAIN.2
HMC.025.000:PHYDDIOCSNDOUT.3 GPIO.028.000.0:DATAIN.3
HMC.025.000:PHYDDIOCSNDOUT.4 GPIO.028.000.1:DATAIN.0
HMC.025.000:PHYDDIOCSNDOUT.5 GPIO.028.000.1:DATAIN.1
HMC.025.000:PHYDDIOCSNDOUT.6 GPIO.028.000.1:DATAIN.2
HMC.025.000:PHYDDIOCSNDOUT.7 GPIO.028.000.1:DATAIN.3
HMC.025.000:PHYDDIODMDOUT.0 GPIO.056.000.2:DATAIN.0
HMC.025.000:PHYDDIODMDOUT.1 GPIO.056.000.2:DATAIN.1
HMC.025.000:PHYDDIODMDOUT.2 GPIO.056.000.2:DATAIN.2
HMC.025.000:PHYDDIODMDOUT.3 GPIO.056.000.2:DATAIN.3
HMC.025.000:PHYDDIODMDOUT.4 GPIO.064.000.2:DATAIN.0
HMC.025.000:PHYDDIODMDOUT.5 GPIO.064.000.2:DATAIN.1
HMC.025.000:PHYDDIODMDOUT.6 GPIO.064.000.2:DATAIN.2
HMC.025.000:PHYDDIODMDOUT.7 GPIO.064.000.2:DATAIN.3
HMC.025.000:PHYDDIODMDOUT.8 GPIO.072.000.2:DATAIN.0
HMC.025.000:PHYDDIODMDOUT.9 GPIO.072.000.2:DATAIN.1
HMC.025.000:PHYDDIODMDOUT.10 GPIO.072.000.2:DATAIN.2
HMC.025.000:PHYDDIODMDOUT.11 GPIO.072.000.2:DATAIN.3
HMC.025.000:PHYDDIODMDOUT.12 GPIO.080.000.2:DATAIN.0
HMC.025.000:PHYDDIODMDOUT.13 GPIO.080.000.2:DATAIN.1
HMC.025.000:PHYDDIODMDOUT.14 GPIO.080.000.2:DATAIN.2
HMC.025.000:PHYDDIODMDOUT.15 GPIO.080.000.2:DATAIN.3
HMC.025.000:PHYDDIODMDOUT.16 GPIO.088.000.2:DATAIN.0
HMC.025.000:PHYDDIODMDOUT.17 GPIO.088.000.2:DATAIN.1
HMC.025.000:PHYDDIODMDOUT.18 GPIO.088.000.2:DATAIN.2
HMC.025.000:PHYDDIODMDOUT.19 GPIO.088.000.2:DATAIN.3
HMC.025.000:PHYDDIODQDOUT.0 GPIO.050.000.1:DATAIN.0
HMC.025.000:PHYDDIODQDOUT.1 GPIO.050.000.1:DATAIN.1
HMC.025.000:PHYDDIODQDOUT.2 GPIO.050.000.1:DATAIN.2
HMC.025.000:PHYDDIODQDOUT.3 GPIO.050.000.1:DATAIN.3
HMC.025.000:PHYDDIODQDOUT.4 GPIO.050.000.0:DATAIN.0
HMC.025.000:PHYDDIODQDOUT.5 GPIO.050.000.0:DATAIN.1
HMC.025.000:PHYDDIODQDOUT.6 GPIO.050.000.0:DATAIN.2
HMC.025.000:PHYDDIODQDOUT.7 GPIO.050.000.0:DATAIN.3
HMC.025.000:PHYDDIODQDOUT.8 GPIO.050.000.2:DATAIN.0
HMC.025.000:PHYDDIODQDOUT.9 GPIO.050.000.2:DATAIN.1
HMC.025.000:PHYDDIODQDOUT.10 GPIO.050.000.2:DATAIN.2
HMC.025.000:PHYDDIODQDOUT.11 GPIO.050.000.2:DATAIN.3
HMC.025.000:PHYDDIODQDOUT.12 GPIO.052.000.3:DATAIN.0
HMC.025.000:PHYDDIODQDOUT.13 GPIO.052.000.3:DATAIN.1
HMC.025.000:PHYDDIODQDOUT.14 GPIO.052.000.3:DATAIN.2
HMC.025.000:PHYDDIODQDOUT.15 GPIO.052.000.3:DATAIN.3
HMC.025.000:PHYDDIODQDOUT.16 GPIO.054.000.1:DATAIN.0
HMC.025.000:PHYDDIODQDOUT.17 GPIO.054.000.1:DATAIN.1
HMC.025.000:PHYDDIODQDOUT.18 GPIO.054.000.1:DATAIN.2
